,train loss,test_acc,test_loss
0,0.5322190448641777,0.8315,0.5142633635906657
1,0.49792908504605293,0.8316,0.5145952073252125
2,0.5048207901418209,0.8305,0.5163579102914044
3,0.5013547725975513,0.8313,0.513107134183501
4,0.5032923668622971,0.8303,0.514604246540434
5,0.49200819805264473,0.8325,0.5126041793709348
6,0.5223168209195137,0.8312,0.5160884766062354
7,0.5277976915240288,0.8308,0.5157710973434387
8,0.49350088834762573,0.8312,0.5139439538785606
9,0.5269431322813034,0.8314,0.5152345553135417
