,train loss,test_acc,test_loss
0,1.646790236234665,0.5418,1.2762281776993138
1,1.0719300657510757,0.6743,0.9451805971989966
2,0.8661182746291161,0.7015,0.8750705449444474
3,0.7672566771507263,0.762,0.6928979443137053
4,0.6755072772502899,0.7445,0.7832701046755359
5,0.6146470159292221,0.7726,0.6933034039606714
6,0.5553958043456078,0.7972,0.6262461404511883
7,0.5177103839814663,0.7944,0.6265653593904653
8,0.5089023821055889,0.8005,0.6214114501597775
9,0.44970139116048813,0.8085,0.5987958085195274
