,train loss,test_acc,test_loss
0,0.4872231185436249,0.8319,0.5130133626946978
1,0.5008512176573277,0.831,0.5141500532627106
2,0.5159441828727722,0.8315,0.5134508709429176
3,0.5044769793748856,0.8305,0.5149765931496955
4,0.4941493943333626,0.8312,0.5162988458849063
5,0.5189372301101685,0.8317,0.5138686843168964
6,0.5074281990528107,0.8319,0.5144312509875388
7,0.5008774623274803,0.831,0.5142811533941585
8,0.5343654714524746,0.8319,0.5142961787000583
9,0.49753063544631004,0.8309,0.5146068382035395
