,train loss,test_acc,test_loss
0,0.5195317007601261,0.8301,0.5147815225230661
1,0.5272115655243397,0.8302,0.5148306954058872
2,0.5343011803925037,0.8306,0.5157501581747821
3,0.5052333436906338,0.8321,0.5138576839380203
4,0.5350194200873375,0.8316,0.5120742490906625
5,0.5114353224635124,0.8308,0.5155522952413862
6,0.5205807872116566,0.8314,0.514306029316726
7,0.4992131032049656,0.8308,0.5140366130004264
8,0.5044206716120243,0.8315,0.5144814375289686
9,0.4825963079929352,0.8313,0.5127041998562539
