,train loss,test_acc,test_loss
0,0.5033591538667679,0.8311,0.5140742150841245
1,0.5095866098999977,0.8304,0.5157988995883116
2,0.5016839616000652,0.8305,0.5153917918918999
3,0.48272233083844185,0.8314,0.5150755609676336
4,0.5081316865980625,0.8315,0.5143157560734233
5,0.5243067033588886,0.8314,0.5132777721259245
6,0.4980406276881695,0.8307,0.5139592020374955
7,0.5087170898914337,0.831,0.5147388901110668
8,0.5623602941632271,0.8311,0.5135003191650294
9,0.5169574581086636,0.8311,0.5146157632397997
