,train loss,test_acc,test_loss
0,0.5277446806430817,0.8322,0.514412063701897
1,0.5392846502363682,0.8311,0.5142241642353641
2,0.5120983235538006,0.8319,0.5162938727884535
3,0.5007646381855011,0.8302,0.5150569167676246
4,0.5261458568274975,0.8315,0.5141223238152304
5,0.5006859749555588,0.8316,0.5143520932668334
6,0.5089893415570259,0.8323,0.5133818165891489
7,0.5068615637719631,0.8307,0.5136490959650392
8,0.5244329385459423,0.8315,0.5136608992032944
9,0.5077707841992378,0.8318,0.5124635172497695
