,train loss,test_acc,test_loss
0,0.48394380509853363,0.8317,0.5146610228119383
1,0.49832744896411896,0.8308,0.5145105410153699
2,0.5213355086743832,0.8314,0.5136817867399022
3,0.5244011804461479,0.8305,0.5158252152288036
4,0.5379435792565346,0.8303,0.5147634279576077
5,0.5112612992525101,0.8308,0.5148712286523952
6,0.5211003497242928,0.8324,0.5116269367325837
7,0.5444610752165318,0.8305,0.5143099319023691
8,0.4749755933880806,0.8314,0.5136631502277532
9,0.5069027245044708,0.8305,0.5162597261606507
