,train loss,test_acc,test_loss
0,0.6600618183612823,0.8467,0.4155787024528358
1,0.36029374301433564,0.8625,0.3757727005679137
2,0.30944852977991105,0.8639,0.3667650356604035
3,0.28370154947042464,0.8654,0.3673777935706126
4,0.261073499917984,0.8736,0.3607102584829376
5,0.23956828266382219,0.8717,0.36938118066187875
6,0.22033177465200424,0.8696,0.3868800123951807
7,0.18854296803474427,0.8815,0.3653384499773858
8,0.17680584341287614,0.878,0.4050820086886928
9,0.17718645930290222,0.8774,0.43256905916959615
