,train loss,test_acc,test_loss
0,0.19080504700541495,0.8775,0.38451650553638006
1,0.17925782650709152,0.8786,0.39190253321152585
2,0.16862081587314606,0.8763,0.41260205199764033
3,0.1670325830578804,0.8803,0.4072363136964998
4,0.1517636239528656,0.8853,0.39678575352403767
5,0.14345582723617553,0.8758,0.46114132605540525
6,0.1583138570189476,0.8834,0.43415392076323744
7,0.14313778802752494,0.8791,0.4830542303574313
8,0.15762522891163827,0.8829,0.44790407398324106
9,0.13991259187459945,0.8794,0.4899223984877585
