,train loss,test_acc,test_loss
0,0.5302027873694897,0.8318,0.5137424962535785
1,0.5094374679028988,0.8313,0.5146113439540195
2,0.48932506144046783,0.831,0.5143283406260667
3,0.5179808028042316,0.8307,0.5170126364679094
4,0.5459791198372841,0.8315,0.5145624667216259
5,0.5110728777945042,0.8309,0.5152123134796787
6,0.4920453801751137,0.8313,0.5134069915789707
7,0.5033598616719246,0.8304,0.5142237174852639
8,0.5224319770932198,0.8319,0.5136945502963036
9,0.4957754947245121,0.8311,0.515556087634366
